Source paper,Technique,Model,Scale,Benchmark,Baseline perf,Benchmark perf
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,DoAnythingNow,45,62
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,8B,WildJailbreak,65.6,86.7
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,8B,WildJailbreak,65.6,81.1
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,8B,WildJailbreak,65.6,78.8
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,HarmBench,80.6,98.8
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,HarmBench,80.6,97.8
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,HarmBench,80.6,97.8
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,XSTest,87.1,91.1
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,XSTest,87.1,94.9
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,XSTest,87.1,92.4
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,WildGuardTest,81.3,99.1
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,WildGuardTest,81.3,99.2
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,WildGuardTest,81.3,98.9
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,Jailbreaktrigger,71,95.3
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,Jailbreaktrigger,71,87
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,Jailbreaktrigger,71,86.7
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,DoAnythingNow,80,93.7
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,DoAnythingNow,80,69
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,DoAnythingNow,80,67.7
https://arxiv.org/pdf/2411.15124,SFT,TULU 3,70B,WildJailbreak,59.2,88.6
https://arxiv.org/pdf/2411.15124,DPO,TULU 3,70B,WildJailbreak,59.2,86.3
https://arxiv.org/pdf/2411.15124,RLVR,TULU 3,70B,WildJailbreak,59.2,86.2
https://arxiv.org/pdf/2501.00656,SFT,OLMO 2,1B,TruthfulQA,42.1,42.1
https://arxiv.org/pdf/2501.00656,DPO,OLMO 2,1B,TruthfulQA,42.1,46.4
